"line_number","x","y","UTC_Timestamp","seconds","epoch_time_in_seconds_start"
"0","50.355691056910565","50.8130081300813","1661202100.612","0","1661202100.612"
"0","50.50813008130082","50.66056910569105","1661202100.612","0",""
"1","56.91056910569105","50.8130081300813","1661202105.795","5.183",""
"1","57.06300813008131","50.66056910569105","1661202105.795","5.183",""
"2","56.859756097560975","50.8130081300813","1661202105.818","5.206",""
"2","57.012195121951216","50.66056910569105","1661202105.818","5.206",""
"3","56.91056910569105","50.8130081300813","1661202105.843","5.231",""
"3","57.06300813008131","50.66056910569105","1661202105.843","5.231",""
"4","63.66869918699187","49.898373983739845","1661202110.791","10.179",""
"4","63.82113821138211","49.74593495934959","1661202110.791","10.179",""
"5","70.52845528455285","49.84756097560976","1661202116.252","15.64",""
"5","70.68089430894308","49.69512195121951","1661202116.252","15.64",""
